top - 16:54:17 up 15 min,  1 user,  load average: 0.07, 0.10, 0.04
Tasks: 322 total,   1 running, 321 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.5 sy,  0.0 ni, 99.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  14734.7 total,  13407.8 free,    937.2 used,    788.2 buff/cache     
MiB Swap:   4096.0 total,   4096.0 free,      0.0 used.  13797.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1067 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1068 systemd+  20   0   22880  14356  11780 S   0.0   0.1   0:00.05 systemd+
   1070 systemd+  20   0   90628   8356   7240 S   0.0   0.1   0:00.03 systemd+
   1082 root      20   0   40916  14868   9164 S   0.0   0.1   0:00.17 systemd+
   1085 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1094 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
   1175 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1247 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1256 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1259 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1368 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/167+
   1438 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
   1454 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1511 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1513 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
   1516 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/16-+
   1518 root      20   0       0      0      0 S   0.0   0.0   0:00.20 napi/ph+
   1519 root      20   0       0      0      0 S   0.0   0.0   0:00.05 napi/ph+
   1520 root      20   0       0      0      0 S   0.0   0.0   0:00.09 napi/ph+
   1521 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1522 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1523 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1524 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
   1525 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
   1526 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
   1527 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
   1529 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1546 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1555 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/nv+
   1556 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1788 systemd+  20   0   21448  12264  10648 S   0.0   0.1   0:00.06 systemd+
   1843 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1849 message+  20   0    9360   6072   4720 S   0.0   0.0   0:00.10 dbus-da+
   1858 polkitd   20   0  382344  10508   7596 S   0.0   0.1   0:00.06 polkitd
   1868 root      20   0   18840  10036   8592 S   0.0   0.1   0:00.05 systemd+
