USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         129  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/18:0-mm_percpu_wq]
root         130  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/18:0H-kblockd]
root         131  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/19]
root         132  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/19]
root         133  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/19]
root         134  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/19]
root         135  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/19:0-events]
root         136  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/19:0H-kblockd]
root         137  0.0  0.0      0     0 ?        S    13:09   0:00 [kdevtmpfs]
root         138  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-inet_frag_wq]
root         139  0.0  0.0      0     0 ?        I    13:09   0:00 [rcu_tasks_kthread]
root         140  0.0  0.0      0     0 ?        I    13:09   0:00 [rcu_tasks_rude_kthread]
root         141  0.0  0.0      0     0 ?        S    13:09   0:00 [kauditd]
root         142  0.0  0.0      0     0 ?        S    13:09   0:00 [khungtaskd]
root         143  0.0  0.0      0     0 ?        S    13:09   0:00 [oom_reaper]
root         145  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-writeback]
root         146  0.0  0.0      0     0 ?        S    13:09   0:00 [kcompactd0]
root         147  0.0  0.0      0     0 ?        SN   13:09   0:00 [ksmd]
root         148  0.0  0.0      0     0 ?        SN   13:09   0:00 [khugepaged]
root         149  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-kblockd]
root         150  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-blkcg_punt_bio]
root         151  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-kintegrityd]
root         152  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/u80:2-pm]
root         153  0.0  0.0      0     0 ?        S    13:09   0:00 [irq/9-acpi]
root         154  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/15:1-events]
root         155  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-tpm_dev_wq]
root         156  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-ata_sff]
root         157  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-md_bitmap]
root         158  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-md_llbitmap_io]
root         159  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-md_llbitmap_unplug]
root         160  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-md]
root         161  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-edac-poller]
root         162  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-devfreq_wq]
root         163  0.0  0.0      0     0 ?        S    13:09   0:00 [watchdogd]
root         164  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-quota_events_unbound]
root         166  0.0  0.0      0     0 ?        S    13:09   0:00 [irq/122-dmar0-perf]
root         167  0.0  0.0      0     0 ?        S    13:09   0:00 [irq/123-dmar1-perf]
root         169  0.0  0.0      0     0 ?        S    13:09   0:00 [kswapd0]
root         170  0.0  0.0      0     0 ?        S    13:09   0:00 [ecryptfs-kthread]
root         171  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-kthrotld]
root         172  0.0  0.0      0     0 ?        S    13:09   0:00 [irq/124-aerdrv]
root         173  0.0  0.0      0     0 ?        S    13:09   0:00 [irq/125-aerdrv]
root         174  0.0  0.0      0     0 ?        S    13:09   0:00 [irq/126-aerdrv]
root         175  0.0  0.0      0     0 ?        S    13:09   0:00 [irq/127-aerdrv]
root         176  0.0  0.0      0     0 ?        S    13:09   0:00 [irq/128-aerdrv]
root         177  0.0  0.0      0     0 ?        S    13:09   0:00 [irq/129-aerdrv]
root         178  0.0  0.0      0     0 ?        S    13:09   0:00 [irq/130-aerdrv]
root         179  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-acpi_thermal_pm]
root         180  0.0  0.0      0     0 ?        S    13:09   0:00 [hwrng]
root         181  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/u80:3-events_unbound]
root         182  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-hfi-updates]
root         183  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-mld]
root         184  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-ipv6_addrconf]
root         186  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-kstrp]
root         188  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/8:1-cgwb_release]
root         190  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/14:1-mm_percpu_wq]
root         192  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/9:1-events]
root         206  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-charger_manager]
root         207  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/19:1-cgroup_free]
root         211  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/10:1-events]
root         245  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/18:1-cgroup_free]
root         311  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/17:1-cgroup_offline]
root         315  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/16:1-mm_percpu_wq]
root         318  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/3:2-cgroup_free]
root         425  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/13:2-events]
root         437  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/17:2-cgroup_bpf_destroy]
root         438  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/18:2]
root         444  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/11:2-events]
root         547  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/4:1-mm_percpu_wq]
root         573  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/8:2-inode_switch_wbs]
root         583  0.0  0.0      0     0 ?        S    13:09   0:00 [scsi_eh_0]
root         584  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-scsi_tmf_0]
root         585  0.0  0.0      0     0 ?        S    13:09   0:00 [scsi_eh_1]
root         586  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-scsi_tmf_1]
root         587  0.0  0.0      0     0 ?        S    13:09   0:00 [scsi_eh_2]
root         588  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-scsi_tmf_2]
root         589  0.0  0.0      0     0 ?        S    13:09   0:00 [scsi_eh_3]
root         590  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-scsi_tmf_3]
root         591  0.0  0.0      0     0 ?        S    13:09   0:00 [scsi_eh_4]
root         592  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-scsi_tmf_4]
root         593  0.0  0.0      0     0 ?        S    13:09   0:00 [scsi_eh_5]
root         594  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-scsi_tmf_5]
root         595  0.0  0.0      0     0 ?        S    13:09   0:00 [scsi_eh_6]
root         596  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/R-scsi_tmf_6]
root         597  0.0  0.0      0     0 ?        S    13:09   0:00 [scsi_eh_7]
